alpha,T0.0250,T0.0750,T0.1250,T0.1750,T0.2250,T0.2750,T0.3250,T0.3750,T0.4250,T0.4750,T0.5250,T0.5750,T0.6250,T0.6750,T0.7250,T0.7750,T0.8250,T0.8750,T0.9250,T0.9750,T1.0250,T1.0750,T1.1250,T1.1750,T1.2250,T1.2750,T1.3250,T1.3750,T1.4250,T1.4750,T1.5250,T1.5750,T1.6250,T1.6750,T1.7250,T1.7750,T1.8250,T1.8750,T1.9250,T1.9750
0.01,0.9648,0.9667,0.9496,0.9343,0.9212,0.9096,0.8993,0.8899,0.8816,0.8739,0.8672,0.8608,0.8551,0.8495,0.8447,0.8399,0.8356,0.8314,0.8280,0.8242,0.8210,0.8178,0.8149,0.8118,0.8097,0.8068,0.8045,0.8021,0.8002,0.7982,0.7965,0.7950,0.7939,0.7930,0.7924,0.7937,0.7951,0.7970,0.8005,0.8048
0.02,0.9846,0.9673,0.9497,0.9346,0.9214,0.9096,0.8993,0.8901,0.8818,0.8742,0.8675,0.8610,0.8550,0.8499,0.8446,0.8403,0.8358,0.8321,0.8283,0.8245,0.8211,0.8181,0.8151,0.8126,0.8098,0.8074,0.8046,0.8028,0.8010,0.7984,0.7963,0.7942,0.7934,0.7911,0.7895,0.7878,0.7867,0.7866,0.7863,0.7876
0.03,0.9876,0.9675,0.9498,0.9347,0.9214,0.9098,0.8993,0.8901,0.8818,0.8746,0.8675,0.8613,0.8554,0.8501,0.8448,0.8405,0.8359,0.8318,0.8286,0.8250,0.8216,0.8187,0.8155,0.8131,0.8101,0.8077,0.8052,0.8029,0.8007,0.7987,0.7970,0.7952,0.7931,0.7914,0.7892,0.7880,0.7862,0.7856,0.7839,0.7836
0.04,0.9880,0.9673,0.9498,0.9347,0.9215,0.9099,0.8996,0.8903,0.8821,0.8747,0.8676,0.8615,0.8557,0.8502,0.8452,0.8407,0.8367,0.8324,0.8287,0.8252,0.8220,0.8186,0.8157,0.8133,0.8107,0.8076,0.8054,0.8031,0.8010,0.7990,0.7973,0.7951,0.7937,0.7920,0.7903,0.7882,0.7869,0.7853,0.7843,0.7827
0.05,0.9882,0.9674,0.9498,0.9350,0.9217,0.9099,0.8996,0.8904,0.8823,0.8749,0.8678,0.8616,0.8559,0.8504,0.8455,0.8409,0.8365,0.8327,0.8289,0.8253,0.8220,0.8190,0.8159,0.8134,0.8106,0.8081,0.8056,0.8037,0.8017,0.7993,0.7970,0.7950,0.7933,0.7920,0.7902,0.7889,0.7874,0.7855,0.7835,0.7829
0.06,0.9882,0.9675,0.9499,0.9351,0.9217,0.9101,0.8999,0.8905,0.8824,0.8750,0.8680,0.8617,0.8559,0.8506,0.8457,0.8410,0.8369,0.8325,0.8293,0.8257,0.8225,0.8194,0.8160,0.8135,0.8110,0.8087,0.8060,0.8036,0.8016,0.7997,0.7980,0.7954,0.7939,0.7926,0.7904,0.7892,0.7874,0.7862,0.7844,0.7836
0.07,0.9882,0.9675,0.9500,0.9349,0.9217,0.9106,0.8999,0.8908,0.8824,0.8750,0.8683,0.8619,0.8562,0.8508,0.8458,0.8414,0.8371,0.8334,0.8296,0.8258,0.8227,0.8196,0.8166,0.8141,0.8114,0.8088,0.8060,0.8041,0.8020,0.8004,0.7980,0.7959,0.7944,0.7929,0.7907,0.7893,0.7878,0.7868,0.7844,0.7840
0.08,0.9882,0.9676,0.9500,0.9350,0.9219,0.9102,0.9001,0.8909,0.8825,0.8753,0.8686,0.8619,0.8563,0.8512,0.8460,0.8418,0.8373,0.8333,0.8297,0.8264,0.8230,0.8196,0.8169,0.8142,0.8114,0.8089,0.8061,0.8042,0.8021,0.7999,0.7982,0.7967,0.7945,0.7931,0.7922,0.7900,0.7880,0.7863,0.7860,0.7835
0.09,0.9882,0.9674,0.9501,0.9351,0.9218,0.9103,0.9002,0.8910,0.8830,0.8754,0.8685,0.8622,0.8564,0.8512,0.8464,0.8415,0.8375,0.8336,0.8296,0.8264,0.8229,0.8199,0.8167,0.8139,0.8116,0.8092,0.8070,0.8042,0.8028,0.8000,0.7987,0.7963,0.7952,0.7933,0.7914,0.7904,0.7891,0.7876,0.7863,0.7847
0.10,0.9882,0.9675,0.9502,0.9351,0.9221,0.9107,0.9003,0.8914,0.8831,0.8756,0.8683,0.8624,0.8570,0.8514,0.8466,0.8420,0.8378,0.8338,0.8298,0.8265,0.8234,0.8201,0.8175,0.8148,0.8118,0.8096,0.8074,0.8048,0.8028,0.8007,0.7987,0.7975,0.7952,0.7939,0.7921,0.7903,0.7890,0.7876,0.7865,0.7837
