alpha,T0.0250,T0.0750,T0.1250,T0.1750,T0.2250,T0.2750,T0.3250,T0.3750,T0.4250,T0.4750,T0.5250,T0.5750,T0.6250,T0.6750,T0.7250,T0.7750,T0.8250,T0.8750,T0.9250,T0.9750,T1.0250,T1.0750,T1.1250,T1.1750,T1.2250,T1.2750,T1.3250,T1.3750,T1.4250,T1.4750,T1.5250,T1.5750,T1.6250,T1.6750,T1.7250,T1.7750,T1.8250,T1.8750,T1.9250,T1.9750
0.01,0.9057,0.9037,0.9046,0.9017,0.9027,0.9085,0.9065,0.9033,0.8974,0.8955,0.8911,0.8829,0.8750,0.8659,0.8553,0.8464,0.8390,0.8334,0.8288,0.8250,0.8215,0.8183,0.8149,0.8119,0.8098,0.8069,0.8049,0.8019,0.8001,0.7975,0.7960,0.7940,0.7922,0.7906,0.7888,0.7875,0.7858,0.7843,0.7829,0.7817
0.02,0.9378,0.9371,0.9369,0.9358,0.9277,0.9204,0.9059,0.8919,0.8820,0.8740,0.8672,0.8612,0.8549,0.8502,0.8451,0.8401,0.8359,0.8319,0.8282,0.8244,0.8213,0.8181,0.8152,0.8124,0.8096,0.8072,0.8048,0.8023,0.8003,0.7985,0.7962,0.7946,0.7928,0.7912,0.7892,0.7877,0.7864,0.7844,0.7832,0.7817
0.03,0.9423,0.9420,0.9426,0.9400,0.9295,0.9180,0.9033,0.8904,0.8819,0.8742,0.8679,0.8611,0.8555,0.8500,0.8451,0.8407,0.8362,0.8321,0.8283,0.8249,0.8216,0.8182,0.8153,0.8129,0.8100,0.8076,0.8052,0.8029,0.8008,0.7986,0.7968,0.7948,0.7930,0.7913,0.7896,0.7879,0.7864,0.7851,0.7837,0.7821
0.04,0.9454,0.9461,0.9430,0.9381,0.9305,0.9155,0.9012,0.8904,0.8822,0.8746,0.8678,0.8612,0.8559,0.8503,0.8453,0.8407,0.8363,0.8323,0.8287,0.8249,0.8219,0.8187,0.8155,0.8132,0.8102,0.8080,0.8055,0.8031,0.8009,0.7989,0.7971,0.7952,0.7932,0.7914,0.7901,0.7884,0.7868,0.7855,0.7839,0.7826
0.05,0.9480,0.9467,0.9435,0.9387,0.9298,0.9143,0.8999,0.8908,0.8827,0.8745,0.8679,0.8614,0.8559,0.8502,0.8456,0.8406,0.8366,0.8328,0.8286,0.8253,0.8220,0.8192,0.8162,0.8133,0.8106,0.8082,0.8057,0.8034,0.8012,0.7994,0.7971,0.7954,0.7938,0.7919,0.7900,0.7887,0.7873,0.7859,0.7844,0.7830
0.06,0.9490,0.9484,0.9458,0.9407,0.9295,0.9152,0.8995,0.8904,0.8826,0.8745,0.8679,0.8615,0.8560,0.8505,0.8457,0.8413,0.8369,0.8331,0.8290,0.8259,0.8225,0.8191,0.8165,0.8135,0.8106,0.8085,0.8059,0.8038,0.8018,0.7996,0.7977,0.7957,0.7939,0.7923,0.7908,0.7890,0.7873,0.7861,0.7848,0.7833
0.07,0.9511,0.9503,0.9482,0.9407,0.9296,0.9139,0.9000,0.8904,0.8827,0.8751,0.8682,0.8619,0.8560,0.8510,0.8463,0.8411,0.8371,0.8333,0.8294,0.8259,0.8225,0.8193,0.8167,0.8138,0.8110,0.8084,0.8063,0.8041,0.8015,0.7999,0.7980,0.7961,0.7943,0.7928,0.7910,0.7896,0.7878,0.7864,0.7852,0.7838
0.08,0.9518,0.9509,0.9468,0.9399,0.9302,0.9125,0.8997,0.8911,0.8831,0.8749,0.8684,0.8620,0.8564,0.8510,0.8459,0.8411,0.8374,0.8333,0.8297,0.8263,0.8227,0.8200,0.8165,0.8139,0.8116,0.8092,0.8067,0.8043,0.8022,0.8001,0.7982,0.7964,0.7947,0.7929,0.7911,0.7898,0.7882,0.7868,0.7852,0.7839
0.09,0.9539,0.9515,0.9482,0.9402,0.9284,0.9129,0.9002,0.8915,0.8825,0.8751,0.8686,0.8621,0.8561,0.8510,0.8461,0.8417,0.8377,0.8333,0.8300,0.8262,0.8231,0.8200,0.8171,0.8142,0.8114,0.8089,0.8069,0.8049,0.8027,0.8007,0.7987,0.7966,0.7952,0.7934,0.7917,0.7900,0.7886,0.7873,0.7858,0.7846
0.10,0.9527,0.9531,0.9497,0.9415,0.9269,0.9129,0.9001,0.8915,0.8831,0.8754,0.8686,0.8627,0.8566,0.8516,0.8461,0.8418,0.8375,0.8340,0.8302,0.8269,0.8233,0.8202,0.8173,0.8147,0.8117,0.8095,0.8071,0.8051,0.8029,0.8006,0.7987,0.7970,0.7954,0.7935,0.7920,0.7906,0.7891,0.7872,0.7861,0.7848
